"","id","arena","n_trial","behaviour2","type","hp_presence","duration_test","duration","prop_duration"
"355","ledy44",1,4,"nf","NS","n",1201,4,0.00333055786844296
"356","lebo08",3,4,"nf","NS","n",1201,27,0.02248126561199
"357","lebe01",4,4,"nf","NS","n",1201,11,0.00915903413821815
"358","ledy09",4,4,"nf","NS","n",1201,27,0.02248126561199
"359","ledy10",4,4,"nf","NS","n",1201,14,0.0116569525395504
"360","ledy14",4,4,"nf","NS","n",1201,11,0.00915903413821815
"361","ledy55",4,4,"nf","NS","n",1201,80,0.0666111573688593
"362","ledy44",1,5,"nf","NS","n",1201,9,0.00749375520399667
"363","ledy09",2,5,"nf","NS","n",1201,42,0.0349708576186511
"364","lebo08",3,5,"nf","NS","n",1201,53,0.0441298917568693
"365","lebe01",4,5,"nf","NS","n",1201,53,0.0441298917568693
"366","ledy14",4,5,"nf","NS","n",1201,12,0.00999167360532889
"367","ledy55",4,5,"nf","NS","n",1201,4,0.00333055786844296
"368","ledy14",2,5,"nf","NS","n",1201,27,0.02248126561199
"369","lebe01",4,5,"nf","NS","n",1201,19,0.0158201498751041
"457","ledy16",3,1,"walk","NS","n",1201,109,0.0907577019150708
"458","ledy12",4,1,"walk","NS","n",1201,264,0.219816819317236
"459","ledo05",3,2,"walk","NS","n",1201,10,0.00832639467110741
"460","ledu06",3,2,"walk","NS","n",1201,11,0.00915903413821815
"461","ledy16",3,2,"walk","NS","n",1201,19,0.0158201498751041
"462","ledy14",4,2,"walk","NS","n",1201,309,0.257285595337219
"463","lebo08",3,4,"walk","NS","n",1201,15,0.0124895920066611
"484","lebo02",2,1,"ef","S","n",1201,11,0.00915903413821815
"485","lebo05",2,1,"ef","S","n",1201,49,0.0407993338884263
"486","lebo06",2,1,"ef","S","n",1201,757,0.630308076602831
"487","ledo03",2,1,"ef","S","n",1201,915,0.761865112406328
"488","ledou05",2,1,"ef","S","n",1201,12,0.00999167360532889
"489","ledy02",2,1,"ef","S","n",1201,14,0.0116569525395504
"490","ledy38",2,1,"ef","S","n",1201,33,0.0274771024146545
"491","ledy49",2,1,"ef","S","n",1201,37,0.0308076602830974
"492","ledy56",2,1,"ef","S","n",1201,29,0.0241465445462115
"493","lebe02",3,1,"ef","S","n",1201,30,0.0249791840133222
"494","lebe03",3,1,"ef","S","n",1201,16,0.0133222314737719
"495","ledy03",3,1,"ef","S","n",1201,47,0.0391340549542048
"496","ledy29",3,1,"ef","S","n",1201,9,0.00749375520399667
"497","ledy33",3,1,"ef","S","n",1201,47,0.0391340549542048
"498","ledy46",3,1,"ef","S","n",1201,19,0.0158201498751041
"499","lehan02",3,1,"ef","S","n",1201,39,0.0324729392173189
"500","leto01",3,1,"ef","S","n",1201,3,0.00249791840133222
"501","ledy39",4,1,"ef","S","n",1201,157,0.130724396336386
"502","ledo03",2,2,"ef","S","n",1201,644,0.536219816819317
"503","ledy23",2,2,"ef","S","n",1201,419,0.3488759367194
"504","ledy33",2,2,"ef","S","n",1201,147,0.122398001665279
"505","ledy49",2,2,"ef","S","n",1201,44,0.0366361365528726
"506","ledy52",2,2,"ef","S","n",1201,115,0.0957535387177352
"507","ledy29",3,2,"ef","S","n",1201,40,0.0333055786844296
"508","ledy46",3,2,"ef","S","n",1201,14,0.0116569525395504
"509","lehan05",3,2,"ef","S","n",1201,6,0.00499583680266445
"510","leon04",3,2,"ef","S","n",1201,45,0.0374687760199833
"511","levi01",3,2,"ef","S","n",1201,2,0.00166527893422148
"512","ledou03",4,2,"ef","S","n",1201,36,0.0299750208159867
"513","ledo03",2,3,"ef","S","n",1201,336,0.279766860949209
"514","ledy49",2,3,"ef","S","n",1201,102,0.0849292256452956
"515","ledy52",2,3,"ef","S","n",1201,32,0.0266444629475437
"516","lebe02",3,3,"ef","S","n",1201,92,0.0766028309741882
"517","ledy11",3,3,"ef","S","n",1201,23,0.019150707743547
"518","ledy46",3,3,"ef","S","n",1201,27,0.02248126561199
"519","ledou03",4,3,"ef","S","n",1201,29,0.0241465445462115
"520","ledy49",2,4,"ef","S","n",1201,16,0.0133222314737719
"521","lebe02",3,4,"ef","S","n",1201,31,0.025811823480433
"522","ledy46",3,4,"ef","S","n",1201,75,0.0624479600333056
"523","ledou03",4,4,"ef","S","n",1201,22,0.0183180682764363
"524","ledy49",2,5,"ef","S","n",1201,8,0.00666111573688593
"525","lebe02",3,5,"ef","S","n",1201,77,0.0641132389675271
"526","ledy45",3,5,"ef","S","n",1201,8,0.00666111573688593
"527","ledy49",2,5,"ef","S","n",1201,11,0.00915903413821815
"528","lebe02",3,5,"ef","S","n",1201,13,0.0108243130724396
"529","ledy45",3,5,"ef","S","n",1201,6,0.00499583680266445
"530","ledo03",2,1,"fe","S","n",1201,115,0.0957535387177352
"531","ledy03",3,1,"fe","S","n",1201,482,0.401332223147377
"532","leon04",3,1,"fe","S","n",1201,347,0.288925895087427
"533","ledy45",3,4,"fe","S","n",1201,235,0.195670274771024
"534","lebo02",2,1,"nf","S","n",1201,28,0.0233139050791007
"535","lebo05",2,1,"nf","S","n",1201,12,0.00999167360532889
"536","lebo06",2,1,"nf","S","n",1201,206,0.171523730224813
"537","ledo03",2,1,"nf","S","n",1201,63,0.0524562864279767
"538","ledou02",2,1,"nf","S","n",1201,146,0.121565362198168
"539","ledou05",2,1,"nf","S","n",1201,22,0.0183180682764363
"540","ledy02",2,1,"nf","S","n",1201,19,0.0158201498751041
"541","ledy06",2,1,"nf","S","n",1201,99,0.0824313072439634
"542","ledy23",2,1,"nf","S","n",1201,9,0.00749375520399667
"543","ledy27",2,1,"nf","S","n",1201,26,0.0216486261448793
"544","ledy30",2,1,"nf","S","n",1201,5,0.00416319733555371
"545","ledy38",2,1,"nf","S","n",1201,81,0.06744379683597
"546","ledy49",2,1,"nf","S","n",1201,32,0.0266444629475437
"547","ledy52",2,1,"nf","S","n",1201,9,0.00749375520399667
"548","ledy56",2,1,"nf","S","n",1201,142,0.118234804329725
"549","lesp2",2,1,"nf","S","n",1201,8,0.00666111573688593
"550","lebe02",3,1,"nf","S","n",1201,79,0.0657785179017485
"551","lebe03",3,1,"nf","S","n",1201,18,0.0149875104079933
"552","ledy03",3,1,"nf","S","n",1201,4,0.00333055786844296
"553","ledy11",3,1,"nf","S","n",1201,16,0.0133222314737719
"554","ledy26",3,1,"nf","S","n",1201,6,0.00499583680266445
"555","ledy29",3,1,"nf","S","n",1201,20,0.0166527893422148
"556","ledy33",3,1,"nf","S","n",1201,28,0.0233139050791007
"557","ledy45",3,1,"nf","S","n",1201,8,0.00666111573688593
"558","ledy46",3,1,"nf","S","n",1201,13,0.0108243130724396
"559","ledy53",3,1,"nf","S","n",1201,19,0.0158201498751041
"560","lehan02",3,1,"nf","S","n",1201,4,0.00333055786844296
"561","lehan05",3,1,"nf","S","n",1201,4,0.00333055786844296
"562","leon04",3,1,"nf","S","n",1201,182,0.151540383014155
"563","leto01",3,1,"nf","S","n",1201,17,0.0141548709408826
"564","levi01",3,1,"nf","S","n",1201,78,0.0649458784346378
"565","levi02",3,1,"nf","S","n",1201,11,0.00915903413821815
"566","ledou03",4,1,"nf","S","n",1201,68,0.0566194837635304
"567","ledou04",4,1,"nf","S","n",1201,26,0.0216486261448793
"568","ledy39",4,1,"nf","S","n",1201,5,0.00416319733555371
"569","ledo03",2,2,"nf","S","n",1201,43,0.0358034970857619
"570","ledy06",2,2,"nf","S","n",1201,40,0.0333055786844296
"571","ledy23",2,2,"nf","S","n",1201,7,0.00582847626977519
"572","ledy30",2,2,"nf","S","n",1201,4,0.00333055786844296
"573","ledy33",2,2,"nf","S","n",1201,105,0.0874271440466278
"574","ledy49",2,2,"nf","S","n",1201,26,0.0216486261448793
"575","ledy52",2,2,"nf","S","n",1201,9,0.00749375520399667
"576","lesp2",2,2,"nf","S","n",1201,82,0.0682764363030808
"577","lebe02",3,2,"nf","S","n",1201,4,0.00333055786844296
"578","ledy11",3,2,"nf","S","n",1201,19,0.0158201498751041
"579","ledy29",3,2,"nf","S","n",1201,7,0.00582847626977519
"580","ledy45",3,2,"nf","S","n",1201,14,0.0116569525395504
"581","ledy46",3,2,"nf","S","n",1201,13,0.0108243130724396
"582","lehan02",3,2,"nf","S","n",1201,11,0.00915903413821815
"583","lehan05",3,2,"nf","S","n",1201,41,0.0341382181515404
"584","leon04",3,2,"nf","S","n",1201,111,0.0924229808492923
"585","levi01",3,2,"nf","S","n",1201,17,0.0141548709408826
"586","levi02",3,2,"nf","S","n",1201,17,0.0141548709408826
"587","ledou03",4,2,"nf","S","n",1201,18,0.0149875104079933
"588","ledou04",4,2,"nf","S","n",1201,95,0.0791007493755204
"589","ledo03",2,3,"nf","S","n",1201,7,0.00582847626977519
"590","ledy06",2,3,"nf","S","n",1201,6,0.00499583680266445
"591","ledy49",2,3,"nf","S","n",1201,8,0.00666111573688593
"592","ledy52",2,3,"nf","S","n",1201,9,0.00749375520399667
"593","lebe02",3,3,"nf","S","n",1201,167,0.139050791007494
"594","ledy11",3,3,"nf","S","n",1201,19,0.0158201498751041
"595","ledy29",3,3,"nf","S","n",1201,3,0.00249791840133222
"596","ledy45",3,3,"nf","S","n",1201,10,0.00832639467110741
"597","ledy46",3,3,"nf","S","n",1201,11,0.00915903413821815
"598","lehan05",3,3,"nf","S","n",1201,5,0.00416319733555371
"599","ledou03",4,3,"nf","S","n",1201,12,0.00999167360532889
"600","ledy05",2,4,"nf","S","n",1201,9,0.00749375520399667
"601","ledy49",2,4,"nf","S","n",1201,10,0.00832639467110741
"602","lebe02",3,4,"nf","S","n",1201,33,0.0274771024146545
"603","ledy11",3,4,"nf","S","n",1201,13,0.0108243130724396
"604","ledy45",3,4,"nf","S","n",1201,14,0.0116569525395504
"605","ledy46",3,4,"nf","S","n",1201,4,0.00333055786844296
"606","lehan05",3,4,"nf","S","n",1201,6,0.00499583680266445
"607","ledy49",2,5,"nf","S","n",1201,8,0.00666111573688593
"608","lebe02",3,5,"nf","S","n",1201,9,0.00749375520399667
"609","ledy11",3,5,"nf","S","n",1201,22,0.0183180682764363
"610","ledy45",3,5,"nf","S","n",1201,6,0.00499583680266445
"611","lehan05",3,5,"nf","S","n",1201,4,0.00333055786844296
"612","ledou03",4,5,"nf","S","n",1201,16,0.0133222314737719
"613","ledy49",2,5,"nf","S","n",1201,11,0.00915903413821815
"614","lebe02",3,5,"nf","S","n",1201,50,0.0416319733555371
"615","ledy11",3,5,"nf","S","n",1201,19,0.0158201498751041
"616","ledy45",3,5,"nf","S","n",1201,5,0.00416319733555371
"703","ledy23",2,2,"walk","S","n",1201,6,0.00499583680266445
"704","ledo03",2,3,"walk","S","n",1201,64,0.0532889258950874
"777","leon01",1,1,"ef","NS","y",1201,109,0.0907577019150708
"778","ledy18",2,1,"ef","NS","y",1201,8,0.00666111573688593
"779","lefe02",2,1,"ef","NS","y",1201,14,0.0116569525395504
"780","lehan03",2,1,"ef","NS","y",1201,62,0.0516236469608659
"781","ledy15",3,1,"ef","NS","y",1201,69,0.0574521232306411
"782","ledy16",3,1,"ef","NS","y",1201,261,0.217318900915903
"783","ledy17",3,1,"ef","NS","y",1201,862,0.717735220649459
"784","ledy34",3,1,"ef","NS","y",1201,529,0.440466278101582
"785","lewa01",3,1,"ef","NS","y",1201,48,0.0399666944213156
"786","lebe01",4,1,"ef","NS","y",1201,677,0.563696919233972
"787","ledy09",4,1,"ef","NS","y",1201,163,0.135720233139051
"788","ledy12",4,1,"ef","NS","y",1201,7,0.00582847626977519
